Verification	Agent	Type	Rent	Location	Bedroom	Bathroom	Area
N/A	SUPERAGENT	Shop	"12,000 AED/year"	"Fire Station Road, Muwaileh, Sharjah"	N/A	N/A	220 sqft
VERIFIED	SUPERAGENT	Office Space	"95,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	N/A	427 sqft
VERIFIED	SUPERAGENT	Office Space	"124,999 AED/year"	"Jumeirah Bay X2, JLT Cluster X, Jumeirah Lake Towers, Dubai"	N/A	1	"1,093 sqft"
VERIFIED	SUPERAGENT	Office Space	"65,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	N/A	314 sqft
VERIFIED	SUPERAGENT	Office Space	"1,300,000 AED/year"	"South Tower, Emirates Financial Towers, DIFC, Dubai"	N/A	N/A	"3,117 sqft"
VERIFIED	SUPERAGENT	Office Space	"300,000 AED/year"	"Saba Towers, JLT Cluster Q, Jumeirah Lake Towers, Dubai"	N/A	1	"1,708 sqft"
N/A	SUPERAGENT	Office Space	"30,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	1	736 sqft
N/A	SUPERAGENT	Office Space	"30,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	1	634 sqft
VERIFIED	SUPERAGENT	Office Space	"155,000 AED/year"	"The Binary Tower, Business Bay, Dubai"	N/A	1	668 sqft
VERIFIED	N/A	Shop	"55,000 AED/year"	"P15, France Cluster, International City, Dubai"	N/A	1	516 sqft
N/A	SUPERAGENT	Office Space	"35,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	1	919 sqft
N/A	SUPERAGENT	Office Space	"44,999 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	"1,033 sqft"
N/A	SUPERAGENT	Office Space	"29,999 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	633 sqft
VERIFIED	SUPERAGENT	Office Space	"65,000 AED/year"	"Tamani Art Tower, Business Bay, Dubai"	N/A	1	289 sqft
N/A	SUPERAGENT	Office Space	"241,000 AED/year"	"Mazaya Business Avenue AA1, Mazaya Business Avenue, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,205 sqft"
N/A	SUPERAGENT	Warehouse	"4,680,000 AED/year"	"Riverside, Dubai Investment Park 2 (DIP 2), Dubai Investment Park (DIP), Dubai"	N/A	N/A	"72,000 sqft"
VERIFIED	SUPERAGENT	Office Space	"1,300,000 AED/year"	"South Tower, Emirates Financial Towers, DIFC, Dubai"	N/A	N/A	"3,117 sqft"
VERIFIED	N/A	Office Space	"180,000 AED/year"	"The Binary Tower, Business Bay, Dubai"	N/A	1	611 sqft
VERIFIED	SUPERAGENT	Office Space	"115,000 AED/year"	"The Burlington, Business Bay, Dubai"	N/A	1	544 sqft
N/A	SUPERAGENT	Office Space	"70,000 AED/year"	"The Citadel Tower, Business Bay, Dubai"	N/A	1	200 sqft
N/A	SUPERAGENT	Business Centre	"35,000 AED/year"	"Westburry Tower 1, Westburry Square, Business Bay, Dubai"	N/A	1	120 sqft
VERIFIED	SUPERAGENT	Office Space	"250,000 AED/year"	"Park Tower B, Park Towers, DIFC, Dubai"	N/A	N/A	533 sqft
VERIFIED	N/A	Office Space	"134,999 AED/year"	"Mazaya Business Avenue BB1, Mazaya Business Avenue, Jumeirah Lake Towers, Dubai"	N/A	1	"1,118 sqft"
VERIFIED	N/A	Office Space	"320,000 AED/year"	"Fortune Tower, JLT Cluster C, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,849 sqft"
VERIFIED	N/A	Office Space	"625,000 AED/year"	"Bay Square Building 11, Bay Square, Business Bay, Dubai"	N/A	N/A	"1,952 sqft"
VERIFIED	N/A	Office Space	"440,000 AED/year"	"Bay Square Building 8, Bay Square, Business Bay, Dubai"	N/A	N/A	"1,573 sqft"
N/A	N/A	Warehouse	"825,000 AED/year"	"Dubai Logistics City, Dubai South (Dubai World Central), Dubai"	N/A	7+	"37,674 sqft"
VERIFIED	SUPERAGENT	Office Space	"800,000 AED/year"	"Almas Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"	N/A	N/A	"2,026 sqft"
VERIFIED	SUPERAGENT	Office Space	"275,000 AED/year"	"Bayswater, Business Bay, Dubai"	N/A	N/A	"1,388 sqft"
N/A	SUPERAGENT	Shop	"348,800 AED/year"	"P1753, Al Dana, Al Raha Beach, Abu Dhabi"	N/A	N/A	"2,346 sqft"
N/A	SUPERAGENT	Office Space	"512,400 AED/year"	"Silver Tower (Ag Tower), JLT Cluster I, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,282 sqft"
VERIFIED	N/A	Office Space	"1,050,000 AED/year"	"The Opus, Business Bay, Dubai"	N/A	N/A	"2,279 sqft"
VERIFIED	N/A	Office Space	"110,000 AED/year"	"Armada Tower 2, JLT Cluster P, Jumeirah Lake Towers, Dubai"	N/A	1	967 sqft
N/A	N/A	Office Space	"30,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	1	634 sqft
N/A	SUPERAGENT	Warehouse	"2,068,000 AED/year"	"Phase 1, Dubai Investment Park (DIP), Dubai"	N/A	N/A	"44,000 sqft"
VERIFIED	SUPERAGENT	Office Space	"350,000 AED/year"	"Almas Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"	N/A	N/A	780 sqft
VERIFIED	SUPERAGENT	Office Space	"280,000 AED/year"	"Park Towers Podium, Park Towers, DIFC, Dubai"	N/A	N/A	708 sqft
VERIFIED	SUPERAGENT	Office Space	"400,000 AED/year"	"Bay Square Building 3, Bay Square, Business Bay, Dubai"	N/A	N/A	"1,573 sqft"
N/A	SUPERAGENT	Office Space	"350,000 AED/year"	"Executive Tower D (Aspect Tower), Executive Towers, Business Bay, Dubai"	N/A	1	"2,107 sqft"
N/A	SUPERAGENT	Office Space	"16,000 AED/year"	"Dar Al Salam Building, Corniche Road, Abu Dhabi"	N/A	4	170 sqft
N/A	SUPERAGENT	Warehouse	"300,000 AED/year"	"Al Quoz Industrial Area, Al Quoz, Dubai"	N/A	N/A	"2,000 sqft"
N/A	SUPERAGENT	Land	"700,000 AED/year"	"Ras Al Khor Industrial, Ras Al Khor, Dubai"	N/A	N/A	"35,000 sqft"
N/A	SUPERAGENT	Labor Camp	"36,000 AED/year"	"Al Quoz Industrial Area, Al Quoz, Dubai"	N/A	7+	160 sqft
N/A	SUPERAGENT	Retail	"282,000 AED/year"	"Aria Gardens A, Aria Gardens, Arjan, Dubai"	N/A	N/A	"1,410 sqft"
N/A	SUPERAGENT	Office Space	"956,250 AED/year"	"Burj Al Salam, Sheikh Zayed Road, Dubai"	N/A	N/A	"3,825 sqft"
N/A	N/A	Office Space	"33,000 AED/year"	"The Mangroves, Al Qurm, Ras Al Khaimah"	N/A	N/A	"1,206 sqft"
VERIFIED	SUPERAGENT	Office Space	"129,888 AED/year"	"The Regal Tower, Business Bay, Dubai"	N/A	1	987 sqft
N/A	N/A	Office Space	"32,500 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	N/A	753 sqft
VERIFIED	N/A	Office Space	"210,000 AED/year"	"Westburry Tower 1, Westburry Square, Business Bay, Dubai"	N/A	N/A	"1,180 sqft"
VERIFIED	N/A	Office Space	"1,500,000 AED/year"	"Almas Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"	N/A	2	"3,338 sqft"
VERIFIED	N/A	Office Space	"950,000 AED/year"	"Sky Tower, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"	N/A	N/A	"5,846 sqft"
VERIFIED	N/A	Office Space	"90,000 AED/year"	"Goldcrest Executive, JLT Cluster C, Jumeirah Lake Towers, Dubai"	N/A	1	854 sqft
N/A	SUPERAGENT	Office Space	"70,000 AED/year"	"The Citadel Tower, Business Bay, Dubai"	N/A	1	200 sqft
VERIFIED	SUPERAGENT	Shop	"45,000 AED/year"	"X18, England Cluster, International City, Dubai"	N/A	1	517 sqft
VERIFIED	SUPERAGENT	Office Space	"34,888 AED/year"	"Leaders Building, Al Quoz 1, Al Quoz, Dubai"	N/A	7+	120 sqft
VERIFIED	SUPERAGENT	Office Space	"64,888 AED/year"	"Leaders Building, Al Quoz 1, Al Quoz, Dubai"	N/A	7+	300 sqft
N/A	SUPERAGENT	Office Space	"60,000 AED/year"	"Airport Road, Abu Dhabi"	N/A	1	667 sqft
VERIFIED	N/A	Office Space	"190,000 AED/year"	"The Prism, Business Bay, Dubai"	N/A	1	"1,114 sqft"
N/A	SUPERAGENT	Warehouse	"319,550 AED/year"	"Phase 1, Dubai Investment Park (DIP), Dubai"	N/A	N/A	"5,810 sqft"
N/A	SUPERAGENT	Warehouse	"181,500 AED/year"	"Jebel Ali Industrial 1, Jebel Ali Industrial, Jebel Ali, Dubai"	N/A	N/A	"2,420 sqft"
N/A	SUPERAGENT	Warehouse	"198,000 AED/year"	"Jebel Ali Industrial 1, Jebel Ali Industrial, Jebel Ali, Dubai"	N/A	N/A	"2,640 sqft"
N/A	SUPERAGENT	Warehouse	"418,100 AED/year"	"Phase 1, Dubai Investment Park (DIP), Dubai"	N/A	N/A	"8,362 sqft"
N/A	SUPERAGENT	Warehouse	"5,350,000 AED/year"	"Saih Shuaib 3, Dubai Industrial City, Dubai"	N/A	N/A	"107,000 sqft"
N/A	SUPERAGENT	Warehouse	"319,000 AED/year"	"Phase 2, Dubai Investment Park (DIP), Dubai"	N/A	N/A	"6,380 sqft"
N/A	SUPERAGENT	Warehouse	"545,475 AED/year"	"Jebel Ali Industrial 1, Jebel Ali Industrial, Jebel Ali, Dubai"	N/A	N/A	"7,273 sqft"
N/A	SUPERAGENT	Warehouse	"999,999 AED/year"	"Jebel Ali Industrial 1, Jebel Ali Industrial, Jebel Ali, Dubai"	N/A	N/A	"18,000 sqft"
N/A	SUPERAGENT	Warehouse	"2,250,000 AED/year"	"Phase 1, Dubai Investment Park (DIP), Dubai"	N/A	N/A	"50,000 sqft"
N/A	SUPERAGENT	Factory	"8,000,000 AED/year"	"Phase 2, Dubai Investment Park (DIP), Dubai"	N/A	N/A	"185,775 sqft"
N/A	SUPERAGENT	Warehouse	"478,875 AED/year"	"Jebel Ali Industrial 1, Jebel Ali Industrial, Jebel Ali, Dubai"	N/A	N/A	"6,385 sqft"
N/A	SUPERAGENT	Warehouse	"227,500 AED/year"	"Phase 1, Dubai Investment Park (DIP), Dubai"	N/A	1	"4,550 sqft"
N/A	SUPERAGENT	Warehouse	"291,675 AED/year"	"Jebel Ali Industrial 1, Jebel Ali Industrial, Jebel Ali, Dubai"	N/A	N/A	"3,889 sqft"
N/A	SUPERAGENT	Shop	"20,000 AED/year"	"Al Rawda 1, Al Rawda, Ajman"	N/A	N/A	350 sqft
N/A	SUPERAGENT	Office Space	"2,972,220 AED/year"	"Burj Daman, DIFC, Dubai"	N/A	N/A	"5,027 sqft"
N/A	N/A	Office Space	"74,999 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	"1,866 sqft"
N/A	N/A	Office Space	"35,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	736 sqft
N/A	N/A	Office Space	"29,999 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	633 sqft
N/A	N/A	Office Space	"35,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	790 sqft
N/A	N/A	Office Space	"29,999 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	633 sqft
N/A	N/A	Office Space	"35,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	737 sqft
N/A	N/A	Office Space	"29,999 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	737 sqft
N/A	N/A	Office Space	"44,999 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	3	"1,033 sqft"
N/A	N/A	Office Space	"32,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	N/A	737 sqft
N/A	N/A	Office Space	"33,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	N/A	737 sqft
VERIFIED	SUPERAGENT	Retail	"80,000 AED/year"	"Schon Business Park, Dubai Investment Park (DIP), Dubai"	N/A	N/A	582 sqft
N/A	SUPERAGENT	Office Space	"2,199,999 AED/year"	"Platinum Tower (Pt Tower), JLT Cluster I, Jumeirah Lake Towers, Dubai"	N/A	N/A	"10,862 sqft"
VERIFIED	SUPERAGENT	Office Space	"1,200,000 AED/year"	"South Tower, Emirates Financial Towers, DIFC, Dubai"	N/A	1	"3,117 sqft"
VERIFIED	N/A	Office Space	"799,999 AED/year"	"Bay Square Building 6, Bay Square, Business Bay, Dubai"	N/A	N/A	"2,628 sqft"
N/A	SUPERAGENT	Staff Accommodation	"60,000 AED/year"	"Al Khail Gate, Al Quoz 2, Al Quoz, Dubai"	N/A	2	"1,333 sqft"
N/A	SUPERAGENT	Shop	"573,440 AED/year"	"Binghatti Orchid, Jumeirah Village Circle, Dubai"	N/A	N/A	"1,792 sqft"
N/A	SUPERAGENT	Full Floor	"1,373,300 AED/year"	"Airport Road, Abu Dhabi"	N/A	N/A	"9,533 sqft"
N/A	SUPERAGENT	Office Space	"1,373,300 AED/year"	"Airport Road, Abu Dhabi"	N/A	N/A	"9,533 sqft"
N/A	SUPERAGENT	Warehouse	"337,220 AED/year"	"Ras Al Khor Industrial 1, Ras Al Khor Industrial, Ras Al Khor, Dubai"	N/A	1	"4,683 sqft"
N/A	N/A	Office Space	"35,000 AED/year"	"Hor Al Anz East, Hor Al Anz, Deira, Dubai"	N/A	N/A	506 sqft
N/A	SUPERAGENT	Office Space	"876,300 AED/year"	"Jumeirah Business Centre 5 (JBC 5), JLT Cluster W, Jumeirah Lake Towers, Dubai"	N/A	N/A	"3,810 sqft"
N/A	SUPERAGENT	Office Space	"800,000 AED/year"	"Cayan Business Center, Barsha Heights (Tecom), Dubai"	N/A	1	"4,767 sqft"
N/A	SUPERAGENT	Warehouse	"700,000 AED/year"	"Al Qusais Industrial Area, Al Qusais, Dubai"	N/A	N/A	"12,300 sqft"
VERIFIED	SUPERAGENT	Office Space	"125,000 AED/year"	"HDS Tower, JLT Cluster F, Jumeirah Lake Towers, Dubai"	N/A	1	"1,143 sqft"
N/A	SUPERAGENT	Office Space	"1,341,200 AED/year"	"EIB 04 Building, Dubai Media City, Dubai"	N/A	N/A	"6,706 sqft"
N/A	SUPERAGENT	Shop	"550,000 AED/year"	"The Matrix, Dubai Sports City, Dubai"	N/A	N/A	"1,223 sqft"
N/A	N/A	Warehouse	"390,000 AED/year"	"Industrial Area 12, Sharjah Industrial Area, Sharjah"	N/A	1	"9,600 sqft"
VERIFIED	N/A	Office Space	"168,000 AED/year"	"Jumeirah Business Centre 4 (JBC 4), JLT Cluster N, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,351 sqft"
N/A	N/A	Office Space	"95,000 AED/year"	"Robot Park Tower, Al Khan, Sharjah"	N/A	2	"1,504 sqft"
N/A	N/A	Office Space	"30,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	1	634 sqft
VERIFIED	SUPERAGENT	Office Space	"145,000 AED/year"	"Bayswater, Business Bay, Dubai"	N/A	1	750 sqft
N/A	SUPERAGENT	Office Space	"1,601,340 AED/year"	"Al Thuraya Tower 1, Dubai Media City, Dubai"	N/A	N/A	"8,212 sqft"
N/A	SUPERAGENT	Office Space	"25,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	N/A	738 sqft
N/A	SUPERAGENT	Shop	"70,000 AED/year"	"Lagoon B8, The Lagoons, Mina Al Arab, Ras Al Khaimah"	N/A	1	820 sqft
N/A	SUPERAGENT	Warehouse	"241,000 AED/year"	"Midtown, Dubai Production City (IMPZ), Dubai"	N/A	2	"3,209 sqft"
N/A	N/A	Office Space	"30,000 AED/year"	"Julphar Commercial Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"	N/A	1	736 sqft
N/A	SUPERAGENT	Office Space	"14,000 AED/year"	"Dar Al Salam Building, Corniche Road, Abu Dhabi"	N/A	4	150 sqft
N/A	N/A	Retail	"864,000 AED/year"	"Al Dana Building, Al Rigga, Deira, Dubai"	N/A	2	"7,200 sqft"
N/A	N/A	Office Space	"30,000 AED/year"	"Al Jubail, Al Qasimia, Sharjah"	N/A	1	925 sqft
N/A	SUPERAGENT	Office Space	"1,550,000 AED/year"	"Platinum Tower (Pt Tower), JLT Cluster I, Jumeirah Lake Towers, Dubai"	N/A	4	"6,374 sqft"
N/A	SUPERAGENT	Office Space	"228,480 AED/year"	"Shatha Tower, Dubai Media City, Dubai"	N/A	N/A	"1,428 sqft"
N/A	SUPERAGENT	Office Space	"1,033,920 AED/year"	"Shatha Tower, Dubai Media City, Dubai"	N/A	N/A	"6,462 sqft"
VERIFIED	SUPERAGENT	Retail	"300,000 AED/year"	"Jumeirah Bay X2, JLT Cluster X, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,541 sqft"
VERIFIED	N/A	Office Space	"500,000 AED/year"	"Jumeirah Business Centre 4 (JBC 4), JLT Cluster N, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,350 sqft"
N/A	SUPERAGENT	Office Space	"215,000 AED/year"	"Reef Tower, JLT Cluster O, Jumeirah Lake Towers, Dubai"	N/A	N/A	417 sqft
VERIFIED	N/A	Office Space	"330,840 AED/year"	"Iris Bay, Business Bay, Dubai"	N/A	1	"1,838 sqft"
VERIFIED	N/A	Office Space	"301,282 AED/year"	"Mazaya Business Avenue AA1, Mazaya Business Avenue, Jumeirah Lake Towers, Dubai"	N/A	N/A	"1,205 sqft"
N/A	N/A	Warehouse	"150,000 AED/year"	"Al Sajaa S, Al Sajaa, Sharjah"	N/A	1	"3,000 sqft"
N/A	SUPERAGENT	Office Space	"40,000 AED/year"	"Al Moosa Tower 2, Al Moosa Towers, Sheikh Zayed Road, Dubai"	N/A	1	170 sqft
N/A	SUPERAGENT	Office Space	"54,999 AED/year"	"Park Place Tower, Sheikh Zayed Road, Dubai"	N/A	1	116 sqft
N/A	N/A	Office Space	"25,000 AED/year"	"Clock Tower Offices, Al Musalla, Al Gharb, Sharjah"	N/A	2	"1,400 sqft"
N/A	SUPERAGENT	Land	"350,000 AED/year"	"Ras Al Khor Industrial 2, Ras Al Khor Industrial, Ras Al Khor, Dubai"	N/A	N/A	"6,000 sqft"
VERIFIED	N/A	Office Space	"150,000 AED/year"	"HDS Business Centre, JLT Cluster M, Jumeirah Lake Towers, Dubai"	N/A	1	"1,391 sqft"
N/A	SUPERAGENT	Office Space	"45,588 AED/year"	"Al Moosa Tower 2, Al Moosa Towers, Sheikh Zayed Road, Dubai"	N/A	2	150 sqft
N/A	SUPERAGENT	Office Space	"72,999 AED/year"	"Conrad Commercial Tower, Sheikh Zayed Road, Dubai"	N/A	1	200 sqft
N/A	SUPERAGENT	Retail	"200,000 AED/year"	"AZIZI Riviera 3, Meydan One, Meydan, Dubai"	N/A	N/A	510 sqft
N/A	N/A	Warehouse	"80,000 AED/year"	"Al Sajaa S, Al Sajaa, Sharjah"	N/A	1	"1,500 sqft"
VERIFIED	N/A	Office Space	"150,000 AED/year"	"The Metropolis, Business Bay, Dubai"	N/A	5	635 sqft
VERIFIED	N/A	Office Space	"1,750,000 AED/year"	"Jumeirah Business Centre 4 (JBC 4), JLT Cluster N, Jumeirah Lake Towers, Dubai"	N/A	1	"4,573 sqft"
VERIFIED	N/A	Shop	"93,000 AED/year"	"AZIZI Riviera 40, Meydan One, Meydan, Dubai"	N/A	N/A	327 sqft
N/A	SUPERAGENT	Office Space	"1,750,000 AED/year"	"Almas Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"	N/A	N/A	"3,113 sqft"
N/A	N/A	Warehouse	"3,600,000 AED/year"	"Freezone South, Jebel Ali Freezone, Jebel Ali, Dubai"	N/A	N/A	"95,680 sqft"
VERIFIED	N/A	Office Space	"138,000 AED/year"	"The Metropolis, Business Bay, Dubai"	N/A	N/A	634 sqft
N/A	SUPERAGENT	Office Space	"106,650 AED/year"	"Jumeirah Business Centre 3 (JBC 3), JLT Cluster Y, Jumeirah Lake Towers, Dubai"	N/A	1	"1,185 sqft"
N/A	N/A	Office Space	"5,000 AED/year"	"Clock Tower Offices, Al Musalla, Al Gharb, Sharjah"	N/A	2	"1,400 sqft"
N/A	SUPERAGENT	Warehouse	"46,000 AED/year"	"Ras Al Khor Industrial 2, Ras Al Khor Industrial, Ras Al Khor, Dubai"	N/A	N/A	506 sqft
N/A	N/A	Office Space	"15,000 AED/year"	"Khalidiya Centre, Cornich Al Khalidiya, Al Khalidiya, Abu Dhabi"	N/A	4	120 sqft
N/A	N/A	Office Space	"15,000 AED/year"	"Khalidiya Centre, Cornich Al Khalidiya, Al Khalidiya, Abu Dhabi"	N/A	4	120 sqft
N/A	N/A	Office Space	"14,000 AED/year"	"Khalidiya Centre, Cornich Al Khalidiya, Al Khalidiya, Abu Dhabi"	N/A	4	120 sqft
N/A	N/A	Office Space	"15,650 AED/year"	"Khalidiya Centre, Cornich Al Khalidiya, Al Khalidiya, Abu Dhabi"	N/A	4	120 sqft
N/A	N/A	Office Space	"15,500 AED/year"	"Khalidiya Centre, Cornich Al Khalidiya, Al Khalidiya, Abu Dhabi"	N/A	4	120 sqft
N/A	N/A	Office Space	"24,000 AED/year"	"Khalidiya Centre, Cornich Al Khalidiya, Al Khalidiya, Abu Dhabi"	N/A	4	142 sqft
N/A	N/A	Shop	"90,000 AED/year"	"The Grand Avenue, Al Nasreya, Sharjah"	N/A	1	895 sqft
N/A	N/A	Shop	"43,000 AED/year"	"The Grand Avenue, Al Nasreya, Sharjah"	N/A	1	528 sqft
N/A	SUPERAGENT	Staff Accommodation	"36,000 AED/year"	"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai"	N/A	7+	160 sqft
N/A	SUPERAGENT	Labor Camp	"21,600 AED/year"	"Jebel Ali Industrial 1, Jebel Ali Industrial, Jebel Ali, Dubai"	N/A	7+	150 sqft
N/A	SUPERAGENT	Labor Camp	"36,000 AED/year"	"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai"	N/A	7+	160 sqft
N/A	SUPERAGENT	Staff Accommodation	"36,000 AED/year"	"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai"	N/A	7+	160 sqft
