Verification	Agent	Type	Rent	Location	Bedroom	Bathroom	Area
VERIFIED	SUPERAGENT	Villa	"1,300,000 AED/year"	"Jumeirah Park Homes, Jumeirah Park, Dubai"	6	7	"9,000 sqft"
VERIFIED	SUPERAGENT	Villa	"360,000 AED/year"	"Jumeirah Park Homes, Jumeirah Park, Dubai"	3	4	"3,063 sqft"
VERIFIED	SUPERAGENT	Villa	"650,000 AED/year"	"Regional, Jumeirah Park, Dubai"	4	5	"4,335 sqft"
VERIFIED	SUPERAGENT	Villa	"535,000 AED/year"	"Legacy, Jumeirah Park, Dubai"	5	6	"4,689 sqft"
VERIFIED	SUPERAGENT	Villa	"390,000 AED/year"	"Aura, Tilal Al Ghaf, Dubai"	5	6	"3,411 sqft"
VERIFIED	SUPERAGENT	Villa	"1,300,000 AED/year"	"District One Villas, District One, Mohammed Bin Rashid City, Dubai"	5	7	"8,381 sqft"
VERIFIED	SUPERAGENT	Apartment	"160,000 AED/year"	"The Torch, Dubai Marina, Dubai"	2	2	"1,258 sqft"
VERIFIED	SUPERAGENT	Apartment	"165,000 AED/year"	"Silverene Tower A, Silverene, Dubai Marina, Dubai"	2	2	"1,067 sqft"
VERIFIED	SUPERAGENT	Apartment	"100,000 AED/year"	"Rimal 3, Rimal, Jumeirah Beach Residence, Dubai"	1	2	800 sqft
VERIFIED	SUPERAGENT	Apartment	"95,000 AED/year"	"Collective 2.0 Tower B, Collective 2.0, Dubai Hills Estate, Dubai"	1	1	482 sqft
VERIFIED	SUPERAGENT	Apartment	"97,500 AED/year"	"Park Point Building C, Park Point, Dubai Hills Estate, Dubai"	1	1	687 sqft
VERIFIED	SUPERAGENT	Villa	"350,000 AED/year"	"Springs 14, The Springs, Dubai"	3	3	"2,246 sqft"
VERIFIED	SUPERAGENT	Apartment	"74,999 AED/year"	"Fortunato, Jumeirah Village Circle, Dubai"	1	2	"1,007 sqft"
VERIFIED	SUPERAGENT	Apartment	"190,000 AED/year"	"Al Hamri, Shoreline Apartments, Palm Jumeirah, Dubai"	1	2	"1,145 sqft"
VERIFIED	SUPERAGENT	Villa	"150,000 AED/year"	"Parkside 2, EMAAR South, Dubai South (Dubai World Central), Dubai"	4	4	"2,486 sqft"
VERIFIED	SUPERAGENT	Apartment	"290,000 AED/year"	"Residences 5, District One, Mohammed Bin Rashid City, Dubai"	3	5	"1,784 sqft"
VERIFIED	SUPERAGENT	Apartment	"120,000 AED/year"	"La Sirene Building 1, La Mer, Jumeirah, Dubai"	1	2	791 sqft
VERIFIED	SUPERAGENT	Apartment	"230,000 AED/year"	"Lamtara 2, Madinat Jumeirah Living, Umm Suqeim, Dubai"	2	2	"1,377 sqft"
VERIFIED	SUPERAGENT	Apartment	"160,000 AED/year"	"Creek Beach Lotus, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai"	2	2	"1,030 sqft"
VERIFIED	SUPERAGENT	Villa	"600,000 AED/year"	"District One Villas, District One, Mohammed Bin Rashid City, Dubai"	4	5	"3,965 sqft"
VERIFIED	SUPERAGENT	Townhouse	"290,000 AED/year"	"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"	4	4	"2,171 sqft"
VERIFIED	SUPERAGENT	Apartment	"150,000 AED/year"	"Beach Isle, EMAAR Beachfront, Dubai Harbour, Dubai"	1	1	756 sqft
VERIFIED	SUPERAGENT	Villa	"550,000 AED/year"	"Al Khail Gate, Al Quoz 2, Al Quoz, Dubai"	6	7+	"10,000 sqft"
VERIFIED	SUPERAGENT	Townhouse	"375,000 AED/year"	"Jasmine Lane, Jumeirah Golf Estates, Dubai"	3	3	"1,591 sqft"
VERIFIED	SUPERAGENT	Apartment	"80,000 AED/year"	"Sobha Creek Vistas Tower B, Sobha Hartland, Mohammed Bin Rashid City, Dubai"	1	1	490 sqft
VERIFIED	SUPERAGENT	Villa	"1,600,000 AED/year"	"Golf Place 1, Golf Place, Dubai Hills Estate, Dubai"	4	5	"7,104 sqft"
VERIFIED	SUPERAGENT	Apartment	"140,000 AED/year"	"Collective Tower 2, Collective, Dubai Hills Estate, Dubai"	2	1	948 sqft
VERIFIED	SUPERAGENT	Villa	"365,000 AED/year"	"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"	5	4	"2,700 sqft"
VERIFIED	SUPERAGENT	Villa	"749,999 AED/year"	"Master View, European Clusters, Jumeirah Islands, Dubai"	5	6	"14,054 sqft"
VERIFIED	SUPERAGENT	Villa	"170,000 AED/year"	"Mira Oasis 2, Mira Oasis, Reem, Dubai"	3	3	"2,818 sqft"
VERIFIED	SUPERAGENT	Townhouse	"345,000 AED/year"	"Murooj Al Furjan, Al Furjan, Dubai"	4	5	"3,616 sqft"
VERIFIED	SUPERAGENT	Villa	"240,000 AED/year"	"Mediterranean Villas, Jumeirah Village Triangle, Dubai"	2	3	"2,690 sqft"
VERIFIED	SUPERAGENT	Apartment	"210,000 AED/year"	"Creek Gate Tower 1, Creek Gate, Dubai Creek Harbour (The Lagoons), Dubai"	3	4	"1,479 sqft"
VERIFIED	SUPERAGENT	Apartment	"300,000 AED/year"	"Grande, Opera District, Downtown Dubai, Dubai"	2	2	"1,212 sqft"
VERIFIED	SUPERAGENT	Villa	"150,000 AED/year"	"Mirdif Villas, Mirdif, Dubai"	4	5	"2,900 sqft"
VERIFIED	SUPERAGENT	Villa	"275,000 AED/year"	"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai"	4	5	"5,049 sqft"
VERIFIED	SUPERAGENT	Villa	"600,000 AED/year"	"Nad Al Sheba 4, Nad Al Sheba, Dubai"	5	7	"18,680 sqft"
VERIFIED	SUPERAGENT	Apartment	"285,000 AED/year"	"Creek Palace, Dubai Creek Harbour (The Lagoons), Dubai"	3	3	"1,651 sqft"
VERIFIED	SUPERAGENT	Apartment	"140,000 AED/year"	"Hameni Tower, Jumeirah Village Circle, Dubai"	2	3	"1,405 sqft"
VERIFIED	SUPERAGENT	Villa	"230,000 AED/year"	"Western Residence South, Falcon City of Wonders, Dubai"	3	5	"4,897 sqft"
VERIFIED	SUPERAGENT	Apartment	"50,000 AED/year"	"Azizi Star, Al Furjan, Dubai"	studio	1	391 sqft
VERIFIED	SUPERAGENT	Villa	"800,000 AED/year"	"Mirador La Coleccion 1, Mirador La Coleccion, Arabian Ranches, Dubai"	6	7	"8,500 sqft"
VERIFIED	SUPERAGENT	Villa	"480,000 AED/year"	"Harmony 2, Harmony, Tilal Al Ghaf, Dubai"	4	5	"4,031 sqft"
VERIFIED	SUPERAGENT	Villa	"600,000 AED/year"	"Harmony 1, Harmony, Tilal Al Ghaf, Dubai"	4	6	"3,900 sqft"
VERIFIED	SUPERAGENT	Apartment	"550,000 AED/year"	"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai"	2	3	"1,781 sqft"
VERIFIED	SUPERAGENT	Apartment	"100,000 AED/year"	"Urbana III, EMAAR South, Dubai South (Dubai World Central), Dubai"	2	2	"1,217 sqft"
VERIFIED	SUPERAGENT	Villa	"345,000 AED/year"	"Springs 3, The Springs, Dubai"	3	3	"2,637 sqft"
VERIFIED	SUPERAGENT	Townhouse	"400,000 AED/year"	"Zulal 1, Zulal, The Lakes, Dubai"	3	2	"2,530 sqft"
VERIFIED	SUPERAGENT	Villa	"585,000 AED/year"	"Meadows 7, Meadows, Dubai"	5	5	"3,697 sqft"
VERIFIED	SUPERAGENT	Apartment	"100,000 AED/year"	"Westwood Grande, Jumeirah Village Circle, Dubai"	1	2	869 sqft
VERIFIED	SUPERAGENT	Apartment	"92,500 AED/year"	"Al Shera Tower, JLT Cluster E, Jumeirah Lake Towers, Dubai"	1	2	993 sqft
VERIFIED	SUPERAGENT	Apartment	"184,999 AED/year"	"The Atlantic, Dubai Marina, Dubai"	2	3	"1,675 sqft"
VERIFIED	SUPERAGENT	Villa	"1,100,000 AED/year"	"Hattan 2, Hattan, The Lakes, Dubai"	6	7	"7,633 sqft"
VERIFIED	SUPERAGENT	Apartment	"185,000 AED/year"	"Time Place Tower, Dubai Marina, Dubai"	3	3	"1,944 sqft"
VERIFIED	SUPERAGENT	Villa	"1,700,000 AED/year"	"Harmony 2, Harmony, Tilal Al Ghaf, Dubai"	6	7+	"8,610 sqft"
VERIFIED	SUPERAGENT	Villa	"830,000 AED/year"	"Harmony 2, Harmony, Tilal Al Ghaf, Dubai"	5	7	"5,900 sqft"
VERIFIED	SUPERAGENT	Townhouse	"370,000 AED/year"	"Aura, Tilal Al Ghaf, Dubai"	4	6	"3,410 sqft"
VERIFIED	SUPERAGENT	Apartment	"3,000,000 AED/year"	"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"	3	4	"2,698 sqft"
VERIFIED	SUPERAGENT	Apartment	"120,000 AED/year"	"Peninsula Five, Peninsula, Business Bay, Dubai"	1	2	702 sqft
VERIFIED	SUPERAGENT	Apartment	"165,000 AED/year"	"The Polo Residence, Meydan Avenue, Meydan, Dubai"	2	4	"1,388 sqft"
VERIFIED	SUPERAGENT	Townhouse	"365,000 AED/year"	"Grand Views, Meydan Gated Community, Meydan, Dubai"	4	6	"3,312 sqft"
VERIFIED	SUPERAGENT	Villa	"1,400,000 AED/year"	"The Nest, Al Barari, Dubai"	5	5	"11,416 sqft"
VERIFIED	SUPERAGENT	Villa	"700,000 AED/year"	"Nad Al Sheba 4, Nad Al Sheba, Dubai"	7+	7+	"16,942 sqft"
VERIFIED	SUPERAGENT	Apartment	"180,000 AED/year"	"Azure Residences, Palm Jumeirah, Dubai"	1	2	"1,142 sqft"
VERIFIED	SUPERAGENT	Apartment	"375,000 AED/year"	"Al Shahla, Shoreline Apartments, Palm Jumeirah, Dubai"	3	4	"2,186 sqft"
VERIFIED	SUPERAGENT	Apartment	"350,000 AED/year"	"Azure Residences, Palm Jumeirah, Dubai"	2	4	"2,017 sqft"
VERIFIED	SUPERAGENT	Apartment	"60,000 AED/year"	"Capital Bay Tower A, Capital Bay, Business Bay, Dubai"	studio	1	505 sqft
VERIFIED	SUPERAGENT	Townhouse	"80,000 AED/year"	"Mimosa, Damac Hills 2, Dubai"	3	3	"1,208 sqft"
VERIFIED	SUPERAGENT	Townhouse	"275,000 AED/year"	"Murooj Al Furjan, Al Furjan, Dubai"	4	4	"3,701 sqft"
VERIFIED	SUPERAGENT	Apartment	"105,000 AED/year"	"Creek Beach Lotus, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai"	1	1	744 sqft
VERIFIED	SUPERAGENT	Apartment	"215,000 AED/year"	"Canal Front Residence 2, Canal Front Residences, Al Wasl, Dubai"	2	4	"1,340 sqft"
VERIFIED	SUPERAGENT	Apartment	"125,000 AED/year"	"Creek Beach Lotus, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai"	1	1	"1,179 sqft"
VERIFIED	SUPERAGENT	Villa	"500,000 AED/year"	"Jumeirah Park Homes, Jumeirah Park, Dubai"	5	6	"8,611 sqft"
VERIFIED	SUPERAGENT	Apartment	"130,000 AED/year"	"Al Andalus Tower F, Al Andalus, Jumeirah Golf Estates, Dubai"	1	1	"1,021 sqft"
VERIFIED	SUPERAGENT	Villa	"350,000 AED/year"	"Springs 14, The Springs, Dubai"	3	3	"4,790 sqft"
VERIFIED	SUPERAGENT	Villa	"690,000 AED/year"	"Meadows 2, Meadows, Dubai"	5	5	"5,812 sqft"
VERIFIED	SUPERAGENT	Apartment	"240,000 AED/year"	"Opera Grand, Burj Khalifa Area, Downtown Dubai, Dubai"	2	3	"1,364 sqft"
VERIFIED	SUPERAGENT	Apartment	"175,000 AED/year"	"Vida Residences Dubai Marina, Dubai Marina, Dubai"	1	2	742 sqft
VERIFIED	SUPERAGENT	Apartment	"90,000 AED/year"	"Harrington House, Jumeirah Village Circle, Dubai"	1	2	774 sqft
VERIFIED	SUPERAGENT	Apartment	"650,000 AED/year"	"Apartment Building 9, Bluewaters Residences, Bluewaters, Dubai"	3	4	"2,111 sqft"
VERIFIED	SUPERAGENT	Apartment	"170,000 AED/year"	"Marina Gate 1, Marina Gate, Dubai Marina, Dubai"	1	2	903 sqft
VERIFIED	SUPERAGENT	Townhouse	"180,000 AED/year"	"Cherrywoods, Dubai Land, Dubai"	3	4	"1,938 sqft"
VERIFIED	SUPERAGENT	Apartment	"155,000 AED/year"	"Vida Residences Dubai Marina, Dubai Marina, Dubai"	1	2	973 sqft
VERIFIED	SUPERAGENT	Townhouse	"230,000 AED/year"	"Elan, Tilal Al Ghaf, Dubai"	3	4	"2,142 sqft"
VERIFIED	SUPERAGENT	Villa	"365,000 AED/year"	"Aura, Tilal Al Ghaf, Dubai"	4	6	"3,410 sqft"
VERIFIED	SUPERAGENT	Villa	"500,000 AED/year"	"Harmony 2, Harmony, Tilal Al Ghaf, Dubai"	4	5	"4,901 sqft"
VERIFIED	SUPERAGENT	Apartment	"115,000 AED/year"	"Marina Quays West, Marina Quays, Dubai Marina, Dubai"	1	2	791 sqft
VERIFIED	SUPERAGENT	Apartment	"269,999 AED/year"	"Stella Maris, Dubai Marina, Dubai"	2	3	"1,451 sqft"
VERIFIED	SUPERAGENT	Apartment	"52,000 AED/year"	"AZIZI Riviera, Meydan One, Meydan, Dubai"	studio	1	347 sqft
VERIFIED	SUPERAGENT	Apartment	"85,000 AED/year"	"AZIZI Riviera, Meydan One, Meydan, Dubai"	1	2	555 sqft
VERIFIED	SUPERAGENT	Apartment	"220,000 AED/year"	"5242 Tower 2, 5242, Dubai Marina, Dubai"	2	2	"1,119 sqft"
VERIFIED	SUPERAGENT	Apartment	"175,000 AED/year"	"Marina Quays West, Marina Quays, Dubai Marina, Dubai"	2	3	"1,254 sqft"
VERIFIED	SUPERAGENT	Apartment	"105,000 AED/year"	"Oxford 212, Jumeirah Village Circle, Dubai"	1	2	757 sqft
VERIFIED	SUPERAGENT	Apartment	"58,000 AED/year"	"Prime Residency 3, Al Furjan, Dubai"	studio	1	440 sqft
VERIFIED	SUPERAGENT	Apartment	"155,000 AED/year"	"5242 Tower 2, 5242, Dubai Marina, Dubai"	1	1	687 sqft
VERIFIED	SUPERAGENT	Apartment	"129,900 AED/year"	"Bayz by Danube, Business Bay, Dubai"	2	2	"1,147 sqft"
VERIFIED	SUPERAGENT	Villa	"600,000 AED/year"	"Saheel, Arabian Ranches, Dubai"	5	5	"14,814 sqft"
VERIFIED	SUPERAGENT	Apartment	"115,000 AED/year"	"Boulevard Central Podium, Boulevard Central Towers, Downtown Dubai, Dubai"	1	1	"1,016 sqft"
VERIFIED	SUPERAGENT	Apartment	"150,000 AED/year"	"Bahar 1, Bahar, Jumeirah Beach Residence, Dubai"	2	2	"1,294 sqft"
VERIFIED	SUPERAGENT	Apartment	"105,000 AED/year"	"Belgravia Heights 2, Jumeirah Village Circle, Dubai"	1	2	866 sqft
VERIFIED	SUPERAGENT	Apartment	"110,000 AED/year"	"Westwood Grande, Jumeirah Village Circle, Dubai"	1	2	950 sqft
VERIFIED	SUPERAGENT	Apartment	"180,000 AED/year"	"Central Park Building 1, Central Park at City Walk, City Walk, Dubai"	1	1	942 sqft
VERIFIED	SUPERAGENT	Apartment	"250,000 AED/year"	"Central Park Building 1, Central Park at City Walk, City Walk, Dubai"	2	3	"1,475 sqft"
VERIFIED	SUPERAGENT	Apartment	"600,000 AED/year"	"Apartment Building 7, Bluewaters Residences, Bluewaters, Dubai"	3	5	"2,112 sqft"
VERIFIED	SUPERAGENT	Apartment	"170,000 AED/year"	"Park Heights 2, Park Heights, Dubai Hills Estate, Dubai"	2	2	958 sqft
VERIFIED	SUPERAGENT	Villa	"349,990 AED/year"	"Green Community West, Green Community, Dubai Investment Park (DIP), Dubai"	5	6	"5,900 sqft"
VERIFIED	SUPERAGENT	Apartment	"95,000 AED/year"	"Jenna Main Square 2, Jenna Main Square, Town Square, Dubai"	2	2	"1,000 sqft"
VERIFIED	SUPERAGENT	Villa	"1,950,000 AED/year"	"Nad Al Sheba 4, Nad Al Sheba, Dubai"	7+	7+	"14,976 sqft"
VERIFIED	SUPERAGENT	Villa	"950,000 AED/year"	"Meadows 5, Meadows, Dubai"	6	6	"4,924 sqft"
VERIFIED	SUPERAGENT	Apartment	"650,000 AED/year"	"Marina Residences 4, Marina Residences, Palm Jumeirah, Dubai"	3	4	"4,946 sqft"
VERIFIED	SUPERAGENT	Townhouse	"235,000 AED/year"	"Elan, Tilal Al Ghaf, Dubai"	3	4	"1,512 sqft"
VERIFIED	SUPERAGENT	Villa	"460,000 AED/year"	"Harmony 3, Harmony, Tilal Al Ghaf, Dubai"	4	5	"4,650 sqft"
VERIFIED	SUPERAGENT	Villa	"475,000 AED/year"	"Harmony 1, Harmony, Tilal Al Ghaf, Dubai"	4	6	"3,716 sqft"
VERIFIED	SUPERAGENT	Villa	"435,000 AED/year"	"Harmony 1, Harmony, Tilal Al Ghaf, Dubai"	4	5	"4,617 sqft"
VERIFIED	SUPERAGENT	Duplex	"420,000 AED/year"	"Aura, Tilal Al Ghaf, Dubai"	4	6	"2,175 sqft"
VERIFIED	SUPERAGENT	Villa	"200,000 AED/year"	"Western Residence South, Falcon City of Wonders, Dubai"	4	6	"3,488 sqft"
VERIFIED	SUPERAGENT	Townhouse	"112,000 AED/year"	"Greenview, EMAAR South, Dubai South (Dubai World Central), Dubai"	3	4	"1,520 sqft"
VERIFIED	SUPERAGENT	Villa	"977,000 AED/year"	"Meadows 9, Meadows, Dubai"	5	5	"4,931 sqft"
VERIFIED	SUPERAGENT	Townhouse	"90,000 AED/year"	"Bahya Villas, Avencia, Damac Hills 2, Dubai"	3	3	"1,706 sqft"
VERIFIED	SUPERAGENT	Apartment	"90,000 AED/year"	"Al Multaqa Avenue, Mirdif Hills, Mirdif, Dubai"	1	2	"1,082 sqft"
VERIFIED	SUPERAGENT	Villa	"450,000 AED/year"	"Nad Al Sheba 4, Nad Al Sheba, Dubai"	5	7	"15,000 sqft"
VERIFIED	SUPERAGENT	Villa	"1,450,000 AED/year"	"Nad Al Sheba 4, Nad Al Sheba, Dubai"	5	7+	"15,741 sqft"
VERIFIED	SUPERAGENT	Villa	"430,000 AED/year"	"Nad Al Sheba 4, Nad Al Sheba, Dubai"	5	7	"14,716 sqft"
VERIFIED	SUPERAGENT	Villa	"250,000 AED/year"	"Nad Al Sheba 4, Nad Al Sheba, Dubai"	3	4	"15,011 sqft"
VERIFIED	SUPERAGENT	Villa	"1,000,000 AED/year"	"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai"	7+	7+	"8,496 sqft"
VERIFIED	SUPERAGENT	Villa	"1,000,000 AED/year"	"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai"	5	7	"12,734 sqft"
VERIFIED	SUPERAGENT	Townhouse	"85,000 AED/year"	"Rukan 3, Dubai Land, Dubai"	1	2	653 sqft
VERIFIED	SUPERAGENT	Townhouse	"130,000 AED/year"	"Rukan 3, Dubai Land, Dubai"	2	3	"1,345 sqft"
VERIFIED	SUPERAGENT	Apartment	"250,000 AED/year"	"Le Pont Building 2, La Mer, Jumeirah, Dubai"	2	2	"1,296 sqft"
VERIFIED	SUPERAGENT	Villa	"275,000 AED/year"	"Reem Community, Arabian Ranches 2, Dubai"	4	4	"2,650 sqft"
VERIFIED	SUPERAGENT	Apartment	"175,000 AED/year"	"Mayan 5, Mayan, Yas Island, Abu Dhabi"	2	3	"1,455 sqft"
VERIFIED	SUPERAGENT	Apartment	"58,000 AED/year"	"Prime Residency 3, Al Furjan, Dubai"	studio	1	401 sqft
VERIFIED	SUPERAGENT	Villa	"650,000 AED/year"	"Meadows 5, Meadows, Dubai"	5	5	"3,687 sqft"
VERIFIED	SUPERAGENT	Apartment	"350,000 AED/year"	"Al Khudrawi, Shoreline Apartments, Palm Jumeirah, Dubai"	3	4	"2,158 sqft"
VERIFIED	SUPERAGENT	Villa	"1,000,000 AED/year"	"Garden Homes Frond B, Garden Homes, Palm Jumeirah, Dubai"	4	4	"6,699 sqft"
VERIFIED	SUPERAGENT	Villa	"475,000 AED/year"	"Harmony 2, Harmony, Tilal Al Ghaf, Dubai"	4	5	"4,650 sqft"
VERIFIED	SUPERAGENT	Townhouse	"350,000 AED/year"	"Springs 3, The Springs, Dubai"	3	4	"3,032 sqft"
VERIFIED	SUPERAGENT	Villa	"639,999 AED/year"	"Silver Springs 1, Silver Springs, DAMAC Hills, Dubai"	5	7	"5,500 sqft"
VERIFIED	SUPERAGENT	Townhouse	"210,000 AED/year"	"Rockwood, DAMAC Hills, Dubai"	3	4	"2,087 sqft"
VERIFIED	SUPERAGENT	Townhouse	"330,000 AED/year"	"Picadilly Green, DAMAC Hills, Dubai"	3	4	"2,750 sqft"
VERIFIED	SUPERAGENT	Apartment	"250,000 AED/year"	"Al Majara 1, Al Majara, Dubai Marina, Dubai"	3	3	"2,057 sqft"
VERIFIED	N/A	Villa	"180,000 AED/year"	"Ruba, Arabian Ranches 3, Dubai"	3	4	"1,575 sqft"
VERIFIED	N/A	Villa	"250,000 AED/year"	"Springs 8, The Springs, Dubai"	3	4	"3,739 sqft"
VERIFIED	SUPERAGENT	Villa	"220,000 AED/year"	"Elan, Tilal Al Ghaf, Dubai"	3	4	"2,152 sqft"
VERIFIED	SUPERAGENT	Apartment	"55,000 AED/year"	"MAG Eye, District 7, Mohammed Bin Rashid City, Dubai"	studio	1	470 sqft
VERIFIED	SUPERAGENT	Apartment	"39,000 AED/year"	"Celestia A, Celestia, Dubai South (Dubai World Central), Dubai"	studio	1	441 sqft
VERIFIED	SUPERAGENT	Apartment	"55,000 AED/year"	"MAG Eye, District 7, Mohammed Bin Rashid City, Dubai"	studio	1	418 sqft
VERIFIED	SUPERAGENT	Apartment	"89,999 AED/year"	"Marina Diamond 5, Marina Diamonds, Dubai Marina, Dubai"	1	1	708 sqft
VERIFIED	SUPERAGENT	Apartment	"165,000 AED/year"	"Al Andalus Tower A, Al Andalus, Jumeirah Golf Estates, Dubai"	2	3	"1,767 sqft"
VERIFIED	SUPERAGENT	Apartment	"160,000 AED/year"	"Golf Vista 1, Golf Vista, DAMAC Hills, Dubai"	2	3	"1,491 sqft"
VERIFIED	SUPERAGENT	Apartment	"280,000 AED/year"	"Le Pont, La Mer, Jumeirah, Dubai"	2	3	"1,357 sqft"
VERIFIED	SUPERAGENT	Apartment	"76,000 AED/year"	"Binghatti Amber, Jumeirah Village Circle, Dubai"	1	2	689 sqft
VERIFIED	SUPERAGENT	Apartment	"180,000 AED/year"	"Wasl1, Al Kifaf, Bur Dubai, Dubai"	2	3	"1,273 sqft"
VERIFIED	SUPERAGENT	Apartment	"165,000 AED/year"	"Studio One, Dubai Marina, Dubai"	2	2	"1,104 sqft"
VERIFIED	SUPERAGENT	Apartment	"290,000 AED/year"	"Residences 11, District One, Mohammed Bin Rashid City, Dubai"	3	4	"1,965 sqft"
VERIFIED	SUPERAGENT	Apartment	"145,000 AED/year"	"Park Heights 2, Park Heights, Dubai Hills Estate, Dubai"	2	2	957 sqft
VERIFIED	SUPERAGENT	Apartment	"105,000 AED/year"	"Elite Residence, Dubai Marina, Dubai"	1	2	960 sqft
VERIFIED	SUPERAGENT	Apartment	"270,000 AED/year"	"Delphine Tower, Marina Promenade, Dubai Marina, Dubai"	3	4	"1,979 sqft"
VERIFIED	SUPERAGENT	Apartment	"220,000 AED/year"	"MBL Royal, Jumeirah Lake Towers, Dubai"	2	3	"1,430 sqft"
VERIFIED	SUPERAGENT	Apartment	"220,000 AED/year"	"MBL Royal, Jumeirah Lake Towers, Dubai"	2	3	"1,430 sqft"
VERIFIED	SUPERAGENT	Apartment	"79,999 AED/year"	"Binghatti Onyx, Jumeirah Village Circle, Dubai"	1	2	709 sqft
VERIFIED	SUPERAGENT	Apartment	"205,000 AED/year"	"La Sirene, La Mer, Jumeirah, Dubai"	2	3	"1,204 sqft"
VERIFIED	SUPERAGENT	Townhouse	"90,000 AED/year"	"Mimosa, Damac Hills 2, Dubai"	3	3	"1,275 sqft"
VERIFIED	SUPERAGENT	Villa	"499,000 AED/year"	"Harmony 3, Harmony, Tilal Al Ghaf, Dubai"	4	6	"4,720 sqft"
VERIFIED	SUPERAGENT	Townhouse	"275,000 AED/year"	"Elan, Tilal Al Ghaf, Dubai"	4	4	"2,353 sqft"
VERIFIED	SUPERAGENT	Apartment	"140,000 AED/year"	"Canal Front Residence 2, Canal Front Residences, Al Wasl, Dubai"	1	2	913 sqft
VERIFIED	SUPERAGENT	Apartment	"220,000 AED/year"	"C1, The Hills C, The Hills, Dubai"	2	2	"1,282 sqft"
VERIFIED	SUPERAGENT	Villa	"535,000 AED/year"	"Legacy, Jumeirah Park, Dubai"	5	6	"4,689 sqft"
VERIFIED	SUPERAGENT	Villa	"400,000 AED/year"	"Legacy, Jumeirah Park, Dubai"	3	4	"3,527 sqft"
VERIFIED	SUPERAGENT	Apartment	"119,999 AED/year"	"Binghatti LUNA, Jumeirah Village Circle, Dubai"	2	2	"1,160 sqft"
VERIFIED	SUPERAGENT	Apartment	"155,000 AED/year"	"Nobles Tower, Business Bay, Dubai"	1	2	829 sqft
VERIFIED	SUPERAGENT	Apartment	"58,000 AED/year"	"Prime Residency 3, Al Furjan, Dubai"	studio	1	530 sqft
VERIFIED	SUPERAGENT	Villa	"185,000 AED/year"	"Ruba, Arabian Ranches 3, Dubai"	3	4	"2,047 sqft"
VERIFIED	SUPERAGENT	Townhouse	"190,000 AED/year"	"Amaranta, Villanova, Dubai Land, Dubai"	4	4	"2,627 sqft"
