Verification,Agent,Type,Price,Location,Bedroom,Bathroom,Area
VERIFIED,SUPERAGENT,Apartment,"610,000 AED","Green Park, Jumeirah Village Triangle, Dubai",studio,1,511 sqft
VERIFIED,SUPERAGENT,Townhouse,"2,850,000 AED","Joy, Arabian Ranches 3, Dubai",3,3,"1,936 sqft"
VERIFIED,SUPERAGENT,Villa,"3,050,000 AED","La Rosa 1, Villanova, Dubai Land, Dubai",3,3,"1,821 sqft"
VERIFIED,SUPERAGENT,Townhouse,"7,000,000 AED","Jumeirah Luxury, Jumeirah Golf Estates, Dubai",4,5,"2,820 sqft"
VERIFIED,SUPERAGENT,Villa,"6,200,000 AED","Bungalows Area, Green Community, Dubai Investment Park (DIP), Dubai",4,5,"10,644 sqft"
VERIFIED,SUPERAGENT,Villa,"50,000,000 AED","Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai",6,7,"12,142 sqft"
VERIFIED,SUPERAGENT,Townhouse,"5,700,000 AED","Al Reem 1, Al Reem, Arabian Ranches, Dubai",4,2,"3,799 sqft"
VERIFIED,SUPERAGENT,Villa,"11,000,000 AED","Grand Views, Meydan Gated Community, Meydan, Dubai",6,7+,"5,512 sqft"
VERIFIED,SUPERAGENT,Townhouse,"2,000,000 AED","The Pulse Townhouses, The Pulse, Dubai South (Dubai World Central), Dubai",2,3,"1,733 sqft"
VERIFIED,SUPERAGENT,Apartment,"700,000 AED","Binghatti Amber, Jumeirah Village Circle, Dubai",studio,1,455 sqft
VERIFIED,SUPERAGENT,Apartment,"2,950,000 AED","The Neighbourhood, Al Barari, Dubai",1,2,"1,243 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,700,000 AED","Index Tower, DIFC, Dubai",1,2,"1,133 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,250,000 AED","Al Andalus Tower E, Al Andalus, Jumeirah Golf Estates, Dubai",2,3,"1,367 sqft"
VERIFIED,SUPERAGENT,Villa,"16,500,000 AED","Meadows 1, Meadows, Dubai",5,4,"3,961 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,000,000 AED","Nobles Tower, Business Bay, Dubai",1,2,829 sqft
VERIFIED,SUPERAGENT,Apartment,"3,850,000 AED","Myrtle, Central Park at City Walk, City Walk, Dubai",2,3,"1,152 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,975,000 AED","Jash Hamad, Shoreline Apartments, Palm Jumeirah, Dubai",1,1,"1,173 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,800,000 AED","Collective Tower 1, Collective, Dubai Hills Estate, Dubai",2,1,724 sqft
VERIFIED,SUPERAGENT,Apartment,"1,300,000 AED","Collective Tower 1, Collective, Dubai Hills Estate, Dubai",1,1,490 sqft
VERIFIED,SUPERAGENT,Townhouse,"4,300,000 AED","Elan, Tilal Al Ghaf, Dubai",4,4,"2,173 sqft"
VERIFIED,SUPERAGENT,Apartment,"5,200,000 AED","Forte 1, Forte, Downtown Dubai, Dubai",3,4,"1,568 sqft"
VERIFIED,SUPERAGENT,Villa,"7,000,000 AED","Heritage, Jumeirah Park, Dubai",3,4,"3,527 sqft"
VERIFIED,SUPERAGENT,Villa,"5,600,000 AED","Al Reem 2, Al Reem, Arabian Ranches, Dubai",3,3,"3,127 sqft"
VERIFIED,SUPERAGENT,Apartment,"70,000,000 AED","Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai",3,5,"6,991 sqft"
VERIFIED,SUPERAGENT,Villa,"200,000,000 AED","Bulgari Ocean Mansions, Jumeirah Bay Island, Jumeirah, Dubai",5,7,"7,353 sqft"
VERIFIED,SUPERAGENT,Villa,"2,800,000 AED","Sun, Arabian Ranches 3, Dubai",3,4,"1,384 sqft"
VERIFIED,SUPERAGENT,Apartment,"6,250,000 AED","Jumeirah Gate Tower 1, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",2,3,"1,167 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,900,000 AED","LIV Marina, Dubai Marina, Dubai",2,1,"1,336 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,400,000 AED","Collective Tower 2, Collective, Dubai Hills Estate, Dubai",1,1,589 sqft
VERIFIED,SUPERAGENT,Townhouse,"5,999,999 AED","Al Reem 1, Al Reem, Arabian Ranches, Dubai",3,3,"2,292 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,125,000 AED","Bahar 2, Bahar, Jumeirah Beach Residence, Dubai",2,2,"1,516 sqft"
VERIFIED,SUPERAGENT,Villa,"2,900,000 AED","Joy, Arabian Ranches 3, Dubai",3,4,"1,384 sqft"
VERIFIED,SUPERAGENT,Apartment,"800,000 AED","Diamond Views 2, Diamond Views, Jumeirah Village Circle, Dubai",1,1,736 sqft
VERIFIED,SUPERAGENT,Apartment,"1,040,000 AED","Binghatti Orchid, Jumeirah Village Circle, Dubai",1,2,775 sqft
VERIFIED,SUPERAGENT,Apartment,"1,840,000 AED","Clearpoint, Mina Rashid, Dubai",1,1,808 sqft
VERIFIED,SUPERAGENT,Apartment,"2,068,760 AED","Nautica Two, Maritime City, Dubai",1,1,732 sqft
VERIFIED,SUPERAGENT,Apartment,"6,250,000 AED","Golden Mile 4, Golden Mile, Palm Jumeirah, Dubai",3,5,"3,328 sqft"
VERIFIED,SUPERAGENT,Villa,"16,250,000 AED","Garden Hall, European Clusters, Jumeirah Islands, Dubai",4,5,"5,500 sqft"
VERIFIED,SUPERAGENT,Villa,"26,000,000 AED","Entertainment Foyer, European Clusters, Jumeirah Islands, Dubai",5,6,"10,779 sqft"
VERIFIED,SUPERAGENT,Villa,"24,750,000 AED","Garden Hall, Islamic Clusters, Jumeirah Islands, Dubai",4,5,"10,631 sqft"
VERIFIED,SUPERAGENT,Villa,"25,000,000 AED","Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai",4,5,"10,852 sqft"
VERIFIED,SUPERAGENT,Villa,"20,000,000 AED","Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai",4,5,"11,940 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,780,000 AED","Chic Tower, Business Bay, Dubai",1,2,773 sqft
VERIFIED,SUPERAGENT,Villa,"6,100,000 AED","Azalea, Arabian Ranches 2, Dubai",4,5,"3,824 sqft"
VERIFIED,SUPERAGENT,Apartment,"950,000 AED","East 40, Al Furjan, Dubai",1,1,712 sqft
VERIFIED,SUPERAGENT,Villa,"11,600,000 AED","The Oasis - Palmiera, The Oasis by Emaar, Dubai",4,5,"8,267 sqft"
VERIFIED,SUPERAGENT,Townhouse,"5,200,000 AED","Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",4,4,"2,344 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,350,000 AED","Nara, The Valley, Dubai",4,4,"2,186 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,100,000 AED","Residences 6, District One, Mohammed Bin Rashid City, Dubai",1,2,"1,049 sqft"
VERIFIED,SUPERAGENT,Apartment,"4,599,000 AED","Marina Vista, EMAAR Beachfront, Dubai Harbour, Dubai",2,2,"1,079 sqft"
VERIFIED,SUPERAGENT,Apartment,"725,000 AED","Bloom Towers C, Bloom Towers, Jumeirah Village Circle, Dubai",studio,1,394 sqft
VERIFIED,SUPERAGENT,Villa,"4,150,000 AED","Bliss, Arabian Ranches 3, Dubai",4,5,"2,890 sqft"
VERIFIED,SUPERAGENT,Villa,"3,300,000 AED","Bliss, Arabian Ranches 3, Dubai",3,4,"2,240 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,610,000 AED","Seagate Building 2, Seagate, Mina Rashid, Dubai",1,1,818 sqft
VERIFIED,SUPERAGENT,Villa,"8,195,000 AED","The Aldea, The Villa, Dubai Land, Dubai",5,6,"6,245 sqft"
VERIFIED,SUPERAGENT,Apartment,"4,250,000 AED","Rixos, Dubai Islands, Deira, Dubai",2,3,"1,486 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,295,000 AED","Trident Bayside, Dubai Marina, Dubai",2,4,"1,626 sqft"
VERIFIED,SUPERAGENT,Villa,"10,995,000 AED","Family Villa Area, Green Community, Dubai Investment Park (DIP), Dubai",5,6,"6,600 sqft"
VERIFIED,SUPERAGENT,Villa,"11,000,000 AED","Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai",4,3,"4,700 sqft"
VERIFIED,SUPERAGENT,Villa,"7,900,000 AED","Silver Springs 1, Silver Springs, DAMAC Hills, Dubai",5,5,"4,844 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,499,999 AED","Ruba, Arabian Ranches 3, Dubai",3,3,"1,560 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,999,999 AED","Bliss 2, Arabian Ranches 3, Dubai",4,4,"1,674 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,100,000 AED","Mira Oasis 3, Mira Oasis, Reem, Dubai",3,4,"3,021 sqft"
VERIFIED,SUPERAGENT,Townhouse,"2,500,000 AED","Lillia, The Valley, Dubai",3,4,"1,482 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,490,000 AED","Marina Gate 2, Marina Gate, Dubai Marina, Dubai",2,2,"1,207 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,700,000 AED","Mudon Al Ranim 3, Mudon, Dubai",4,4,"2,978 sqft"
N/A,SUPERAGENT,Land,"41,000,000 AED","Palm Jebel Ali - Frond O, Palm Jebel Ali, Dubai",N/A,N/A,"22,300 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,200,000 AED","Ruba, Arabian Ranches 3, Dubai",3,4,"1,565 sqft"
VERIFIED,SUPERAGENT,Villa,"7,750,000 AED","Legacy Nova Villas, Jumeirah Park, Dubai",4,4,"5,489 sqft"
VERIFIED,SUPERAGENT,Apartment,"6,800,000 AED","Ashjar, Al Barari, Dubai",2,4,"3,157 sqft"
VERIFIED,SUPERAGENT,Villa,"11,399,999 AED","Rasha, Arabian Ranches 2, Dubai",5,5,"5,368 sqft"
VERIFIED,SUPERAGENT,Apartment,"30,000,000 AED","Index Tower, DIFC, Dubai",5,5,"7,401 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,500,000 AED","Burj Daman, DIFC, Dubai",1,2,941 sqft
VERIFIED,SUPERAGENT,Villa,"32,999,000 AED","District One Phase III, District One, Mohammed Bin Rashid City, Dubai",6,7+,"9,839 sqft"
VERIFIED,SUPERAGENT,Villa,"72,000,000 AED","Sector J, Emirates Hills, Dubai",6,7,"22,184 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,100,000 AED","Al Andalus Tower E, Al Andalus, Jumeirah Golf Estates, Dubai",3,4,"1,806 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,550,000 AED","Prive Residence, Dubai Hills Estate, Dubai",1,2,663 sqft
VERIFIED,SUPERAGENT,Apartment,"4,750,000 AED","Mulberry 2, Park Heights, Dubai Hills Estate, Dubai",3,5,"1,969 sqft"
VERIFIED,SUPERAGENT,Villa,"5,175,000 AED","Al Reem 2, Al Reem, Arabian Ranches, Dubai",3,3,"2,540 sqft"
VERIFIED,SUPERAGENT,Apartment,"11,000,000 AED","Apartment Building 10, Bluewaters Residences, Bluewaters, Dubai",3,5,"2,173 sqft"
VERIFIED,SUPERAGENT,Villa,"7,500,000 AED","Murooj Al Furjan, Al Furjan, Dubai",4,5,"4,042 sqft"
VERIFIED,SUPERAGENT,Villa,"2,500,000 AED","Maha Townhouses, Town Square, Dubai",3,4,"2,144 sqft"
VERIFIED,SUPERAGENT,Villa,"3,600,000 AED","The Pulse Beachfront, The Pulse, Dubai South (Dubai World Central), Dubai",3,4,"3,058 sqft"
VERIFIED,SUPERAGENT,Townhouse,"1,850,000 AED","Casablanca Boutique Villas, Pacifica, Damac Hills 2, Dubai",3,5,"1,633 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,650,000 AED","Urbana III, EMAAR South, Dubai South (Dubai World Central), Dubai",2,2,"1,217 sqft"
VERIFIED,SUPERAGENT,Townhouse,"4,800,000 AED","Nad Al Sheba Gardens, Nad Al Sheba 1, Nad Al Sheba, Dubai",3,4,"2,619 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,300,000 AED","Mira Oasis 3, Mira Oasis, Reem, Dubai",3,4,"2,562 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,300,000 AED","Mira Oasis 1, Mira Oasis, Reem, Dubai",3,4,"2,286 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,900,000 AED","Palace Residences, Dubai Creek Harbour (The Lagoons), Dubai",2,2,"1,190 sqft"
VERIFIED,SUPERAGENT,Apartment,"4,750,000 AED","Marina Gate 2, Marina Gate, Dubai Marina, Dubai",2,3,"1,324 sqft"
VERIFIED,SUPERAGENT,Villa,"8,200,000 AED","Family Villas, Green Community, Dubai Investment Park (DIP), Dubai",5,6,"8,015 sqft"
VERIFIED,SUPERAGENT,Apartment,"4,550,000 AED","Shams 4, Shams, Jumeirah Beach Residence, Dubai",4,5,"3,139 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,148,000 AED","The Wings, Arjan, Dubai",1,2,"1,148 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,350,000 AED","The Wings, Arjan, Dubai",2,3,"1,198 sqft"
VERIFIED,SUPERAGENT,Apartment,"65,000,000 AED","Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai",3,5,"6,943 sqft"
VERIFIED,SUPERAGENT,Villa,"150,000,000 AED","Sea Mirror, Jumeirah Bay Island, Jumeirah, Dubai",5,6,"12,455 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,610,000 AED","Club Drive, Dubai Hills Estate, Dubai",1,1,752 sqft
VERIFIED,SUPERAGENT,Villa,"7,750,000 AED","Elie Saab, Arabian Ranches 3, Dubai",4,6,"4,128 sqft"
VERIFIED,SUPERAGENT,Villa,"7,900,000 AED","Legacy Nova Villas, Jumeirah Park, Dubai",4,4,"4,890 sqft"
VERIFIED,SUPERAGENT,Villa,"7,499,999 AED","Palma, Arabian Ranches 2, Dubai",4,5,"3,639 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,600,000 AED","Global Lake View, JLT Cluster E, Jumeirah Lake Towers, Dubai",2,2,937 sqft
VERIFIED,SUPERAGENT,Apartment,"1,275,000 AED","Collective 2.0 Tower A, Collective 2.0, Dubai Hills Estate, Dubai",1,1,479 sqft
VERIFIED,SUPERAGENT,Apartment,"6,400,000 AED","Grand Bleu Tower 2, EMAAR Beachfront, Dubai Harbour, Dubai",2,3,"1,404 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,350,000 AED","Aykon City Tower C, Aykon City, Business Bay, Dubai",1,2,544 sqft
VERIFIED,SUPERAGENT,Apartment,"6,000,000 AED","Oceana Aegean, Oceana, Palm Jumeirah, Dubai",3,4,"2,440 sqft"
VERIFIED,SUPERAGENT,Villa,"7,999,999 AED","Casa, Arabian Ranches 2, Dubai",4,4,"3,609 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,500,000 AED","Fern, Central Park at City Walk, City Walk, Dubai",2,3,"1,356 sqft"
VERIFIED,SUPERAGENT,Apartment,"5,900,000 AED","Apartment Building 10, Bluewaters Residences, Bluewaters, Dubai",2,3,"1,482 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,520,000 AED","Al Alka 1, Al Alka, Greens, Dubai",1,1,720 sqft
VERIFIED,SUPERAGENT,Villa,"8,500,000 AED","Rasha, Arabian Ranches 2, Dubai",4,5,"6,544 sqft"
VERIFIED,SUPERAGENT,Villa,"20,000,000 AED","Meadows 7, Meadows, Dubai",5,6,"5,000 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,700,000 AED","Nautica One, Maritime City, Dubai",1,2,651 sqft
VERIFIED,SUPERAGENT,Apartment,"2,670,000 AED","Rahaal 2, Madinat Jumeirah Living, Umm Suqeim, Dubai",1,2,816 sqft
VERIFIED,SUPERAGENT,Villa,"4,699,990 AED","The Field, DAMAC Hills, Dubai",4,4,"3,487 sqft"
VERIFIED,SUPERAGENT,Villa,"35,000,000 AED","Lime Tree Valley, Earth, Jumeirah Golf Estates, Dubai",6,7,"14,278 sqft"
VERIFIED,SUPERAGENT,Apartment,"725,000 AED","Bloom Towers C, Bloom Towers, Jumeirah Village Circle, Dubai",studio,1,395 sqft
VERIFIED,SUPERAGENT,Villa,"8,500,000 AED","Murooj Al Furjan, Al Furjan, Dubai",5,6,"6,135 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,426,000 AED","Lacina, Ghaf Woods, Dubai Land, Dubai",1,1,696 sqft
VERIFIED,SUPERAGENT,Villa,"6,350,000 AED","Aura, Tilal Al Ghaf, Dubai",4,6,"3,411 sqft"
VERIFIED,SUPERAGENT,Apartment,"8,470,000 AED","Bluewaters Bay Building 1, Bluewaters Bay, Bluewaters, Dubai",3,4,"2,057 sqft"
VERIFIED,SUPERAGENT,Villa,"8,500,000 AED","Murooj Al Furjan, Al Furjan, Dubai",5,7,"6,132 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,400,000 AED","Mudon Al ranim 4, Mudon, Dubai",4,5,"2,548 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,500,000 AED","Greenridge, EMAAR South, Dubai South (Dubai World Central), Dubai",3,4,"2,050 sqft"
VERIFIED,SUPERAGENT,Villa,"5,100,000 AED","South Bay 1, South Bay, Dubai South (Dubai World Central), Dubai",5,7,"4,219 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,380,000 AED","Holland Gardens, Town Square, Dubai",2,2,"1,080 sqft"
VERIFIED,SUPERAGENT,Apartment,"920,000 AED","Hartland Greens, Sobha Hartland, Mohammed Bin Rashid City, Dubai",studio,1,522 sqft
VERIFIED,SUPERAGENT,Apartment,"6,200,000 AED","Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",2,3,"2,038 sqft"
VERIFIED,SUPERAGENT,Villa,"15,200,000 AED","Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai",4,3,"3,523 sqft"
VERIFIED,SUPERAGENT,Villa,"12,290,000 AED","Alvorada 4, Alvorada, Arabian Ranches, Dubai",5,5,"5,280 sqft"
VERIFIED,SUPERAGENT,Villa,"20,000,000 AED","Jumeirah Park Homes, Jumeirah Park, Dubai",6,7,"6,800 sqft"
VERIFIED,SUPERAGENT,Apartment,"5,800,000 AED","Ashjar, Al Barari, Dubai",2,3,"2,639 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,350,000 AED","Elvira, Park Heights, Dubai Hills Estate, Dubai",2,2,"1,062 sqft"
VERIFIED,SUPERAGENT,Villa,"8,950,000 AED","Hacienda, The Villa, Dubai Land, Dubai",5,7,"6,500 sqft"
VERIFIED,SUPERAGENT,Villa,"4,700,000 AED","La Quinta, Villanova, Dubai Land, Dubai",3,3,"2,204 sqft"
VERIFIED,SUPERAGENT,Villa,"7,100,000 AED","Murooj Al Furjan, Al Furjan, Dubai",4,4,"5,777 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,400,000 AED","Jadeel, Madinat Jumeirah Living, Umm Suqeim, Dubai",1,1,763 sqft
VERIFIED,SUPERAGENT,Townhouse,"3,250,000 AED","Anya 2, Arabian Ranches 3, Dubai",4,4,"2,682 sqft"
VERIFIED,SUPERAGENT,Villa,"3,250,000 AED","Greenviews 2, EMAAR South, Dubai South (Dubai World Central), Dubai",4,5,"2,256 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,400,000 AED","The Pulse Beachfront, The Pulse, Dubai South (Dubai World Central), Dubai",3,5,"2,561 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,250,000 AED","Anya 2, Arabian Ranches 3, Dubai",4,4,"2,463 sqft"
VERIFIED,SUPERAGENT,Villa,"6,050,000 AED","June 2, Arabian Ranches 3, Dubai",4,6,"3,090 sqft"
VERIFIED,SUPERAGENT,Townhouse,"2,600,000 AED","Talia, The Valley, Dubai",3,3,"1,878 sqft"
VERIFIED,SUPERAGENT,Villa,"20,700,000 AED","Palm Jebel Ali Frond K, Palm Jebel Ali, Dubai",5,6,"7,582 sqft"
VERIFIED,SUPERAGENT,Apartment,"6,800,000 AED","Palace Beach Residence, EMAAR Beachfront, Dubai Harbour, Dubai",3,4,"1,855 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,500,000 AED","Marwa Homes 2, Jumeirah Village Circle, Dubai",4,6,"3,850 sqft"
VERIFIED,SUPERAGENT,Villa,"30,000,000 AED","Address Hillcrest, Dubai Hills Estate, Dubai",5,6,"7,318 sqft"
VERIFIED,SUPERAGENT,Apartment,"8,750,000 AED","Opera Grand, Burj Khalifa Area, Downtown Dubai, Dubai",3,5,"2,044 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,050,000 AED","Mulberry 1, Park Heights, Dubai Hills Estate, Dubai",2,3,"1,307 sqft"
VERIFIED,SUPERAGENT,Townhouse,"6,650,000 AED","Ixora, Al Barari, Dubai",4,5,"4,791 sqft"
VERIFIED,SUPERAGENT,Villa,"25,300,000 AED","Sobha Estates Villas, Sobha Hartland II, Mohammed Bin Rashid City, Dubai",5,7+,"8,288 sqft"
N/A,SUPERAGENT,Townhouse,"2,399,999 AED","The Townhouses at Al Hamra Village, Al Hamra Village, Ras Al Khaimah",4,3,"2,800 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,950,000 AED","Elite Residence, Dubai Marina, Dubai",1,2,960 sqft
VERIFIED,SUPERAGENT,Villa,"3,499,000 AED","Springs 11, The Springs, Dubai",2,3,"1,790 sqft"
VERIFIED,SUPERAGENT,Villa,"3,600,000 AED","Springs 11, The Springs, Dubai",2,3,"1,794 sqft"
VERIFIED,SUPERAGENT,Townhouse,"2,400,000 AED","Amaranta, Villanova, Dubai Land, Dubai",2,4,"1,755 sqft"
VERIFIED,SUPERAGENT,Villa,"23,400,000 AED","Sur La Mer, La Mer, Jumeirah, Dubai",5,6,"6,850 sqft"
VERIFIED,SUPERAGENT,Townhouse,"9,900,000 AED","Sur La Mer, La Mer, Jumeirah, Dubai",3,3,"2,830 sqft"
VERIFIED,SUPERAGENT,Villa,"25,500,000 AED","Entertainment Foyer, Oasis Clusters, Jumeirah Islands, Dubai",4,4,"5,307 sqft"
VERIFIED,SUPERAGENT,Villa,"20,999,950 AED","Garden Hall, Mediterranean Clusters, Jumeirah Islands, Dubai",4,5,"5,300 sqft"
VERIFIED,SUPERAGENT,Villa,"27,270,000 AED","Entertainment Foyer, Islamic Clusters, Jumeirah Islands, Dubai",5,4,"5,285 sqft"
VERIFIED,SUPERAGENT,Apartment,"5,750,000 AED","Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",2,3,"1,715 sqft"
VERIFIED,SUPERAGENT,Apartment,"8,000,000 AED","Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",3,4,"2,332 sqft"
VERIFIED,SUPERAGENT,Apartment,"5,750,000 AED","Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",2,3,"2,056 sqft"
VERIFIED,SUPERAGENT,Apartment,"10,000,000 AED","Act Towers, Opera District, Downtown Dubai, Dubai",3,4,"2,768 sqft"
VERIFIED,SUPERAGENT,Villa,"27,755,000 AED","Lime Tree Valley, Earth, Jumeirah Golf Estates, Dubai",5,6,"8,176 sqft"
VERIFIED,SUPERAGENT,Apartment,"6,300,000 AED","Castleton, Central Park at City Walk, City Walk, Dubai",3,3,"1,815 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,100,000 AED","Falls, Haven By Aldar, Dubai Land, Dubai",3,4,"2,280 sqft"
VERIFIED,SUPERAGENT,Villa,"13,500,000 AED","Meadows 8, Meadows, Dubai",5,4,"3,970 sqft"
VERIFIED,SUPERAGENT,Villa,"7,799,000 AED","Deema 4, Deema, The Lakes, Dubai",3,2,"3,630 sqft"
